text,banks_referenced,author,article_title,publication_date,is_comparative
The new year will start with more branches closing for Bank of America. Here's the list of locations that could be shuttered beginning January 2025.,bankofamerica,"Corina González, Gidget Alikpala",Bank of America branches closing in January 2025: Full List - AS USA,2025-01-01,False
"Each week, the Office of the Comptroller of the Currency or OCC shares a list of bank branches that will be closing in the coming months. Some of these bulletins include closures of several Bank of America locations, which could begin as early as January 2025.",bankofamerica,"Corina González, Gidget Alikpala",Bank of America branches closing in January 2025: Full List - AS USA,2025-01-01,False
"Considering the announcement of a bank's closure must be made at least 90 days in advance, we can estimate that the October newsletters include information on Bank of America branches that could begin to close in January this year.",bankofamerica,"Corina González, Gidget Alikpala",Bank of America branches closing in January 2025: Full List - AS USA,2025-01-01,False
"In October, the Office of the Comptroller of the Currency shared four weekly newsletters, which shared Bank of America Advance Closure Notices at these locations, including several in California and Florida: 49 EAST CHICAGO AVENUE, CHICAGO, IL; 6351 EAST SPRING STREET, LONG BEACH, CA; 133 MASSACHUSETTS AVENUE, BOSTON, MA; 8760 WILSHIRE BOULEVARD, BEVERLY HILLS, CA; 702 MISSION AVE, OCEANSIDE, CA; 8681 CYPRESS LAKE DRIVE, FORT MYERS, FL; 902 SOUTH ATLANTIC AVENUE, ORMOND BEACH, FL; 2700 WEST DR. MARTIN L. KING JR. BOULEVARD, TAMPA, FL; 969 SOUTH GALLATIN ROAD, NASHVILLE, TN; 69 SOUTH GALLATIN ROAD, NASHVILLE, TN; 992 COOKE STREET, WATERBURY, CT; 1501 QUEEN ANNE AVE N, SEATTLE, WA",bankofamerica,"Corina González, Gidget Alikpala",Bank of America branches closing in January 2025: Full List - AS USA,2025-01-01,False
