Bank,Date,Close,Currency,GlobalBankIndex
JPMorgan,2022-01-03,146.99583435058594,USD,952.260009765625
JPMorgan,2022-01-04,152.56838989257812,USD,981.2999877929688
JPMorgan,2022-01-05,149.77915954589844,USD,984.260009765625
JPMorgan,2022-01-06,151.37039184570312,USD,992.1099853515625
JPMorgan,2022-01-07,152.87017822265625,USD,1007.9199829101562
JPMorgan,2022-01-10,153.01651000976562,USD,1011.77001953125
JPMorgan,2022-01-11,153.17196655273438,USD,1019.3400268554688
JPMorgan,2022-01-12,154.04074096679688,USD,1025.3800048828125
JPMorgan,2022-01-13,153.8487091064453,USD,1037.449951171875
JPMorgan,2022-01-14,144.3926239013672,USD,1032.3599853515625
JPMorgan,2022-01-18,138.33853149414062,USD,1013.7899780273438
JPMorgan,2022-01-19,136.19859313964844,USD,1002.0399780273438
JPMorgan,2022-01-20,135.0371551513672,USD,1002.0800170898438
JPMorgan,2022-01-21,132.6776885986328,USD,986.47998046875
JPMorgan,2022-01-24,132.558837890625,USD,968.4400024414062
JPMorgan,2022-01-25,134.0037841796875,USD,977.5399780273438
JPMorgan,2022-01-26,135.27490234375,USD,992.219970703125
JPMorgan,2022-01-27,132.88804626464844,USD,991.3400268554688
JPMorgan,2022-01-28,134.076904296875,USD,989.4299926757812
JPMorgan,2022-01-31,135.89678955078125,USD,994.8300170898438
JPMorgan,2022-02-01,138.22882080078125,USD,1016.0599975585938
JPMorgan,2022-02-02,137.1222381591797,USD,1025.02001953125
JPMorgan,2022-02-03,135.9882354736328,USD,1028.1500244140625
JPMorgan,2022-02-04,139.51824951171875,USD,1034.5999755859375
JPMorgan,2022-02-07,139.98468017578125,USD,1048.699951171875
JPMorgan,2022-02-08,142.61846923828125,USD,1063.6500244140625
JPMorgan,2022-02-09,143.21292114257812,USD,1069.489990234375
JPMorgan,2022-02-10,142.61846923828125,USD,1070.0899658203125
JPMorgan,2022-02-11,140.76202392578125,USD,1060.550048828125
JPMorgan,2022-02-14,139.4542694091797,USD,1036.68994140625
JPMorgan,2022-02-15,141.49363708496094,USD,1039.6400146484375
JPMorgan,2022-02-16,141.74966430664062,USD,1038.9200439453125
JPMorgan,2022-02-17,138.48487854003906,USD,1019.97998046875
JPMorgan,2022-02-18,139.13417053222656,USD,1014.7999877929688
JPMorgan,2022-02-22,138.88726806640625,USD,1003.4199829101562
JPMorgan,2022-02-23,135.97911071777344,USD,992.2999877929688
JPMorgan,2022-02-24,132.19302368164062,USD,935.510009765625
JPMorgan,2022-02-25,135.32066345214844,USD,962.6799926757812
JPMorgan,2022-02-28,129.6781005859375,USD,936.52001953125
JPMorgan,2022-03-01,124.78543090820312,USD,898.7000122070312
JPMorgan,2022-03-02,127.3735122680664,USD,905.0900268554688
JPMorgan,2022-03-03,126.4681396484375,USD,899.260009765625
JPMorgan,2022-03-04,122.91065979003906,USD,861.1699829101562
JPMorgan,2022-03-07,118.16436767578125,USD,833.3400268554688
JPMorgan,2022-03-08,117.3321533203125,USD,835.27001953125
JPMorgan,2022-03-09,122.03276824951172,USD,873.5700073242188
JPMorgan,2022-03-10,120.58783721923828,USD,865.9400024414062
JPMorgan,2022-03-11,117.87171936035156,USD,863.0700073242188
JPMorgan,2022-03-14,119.04231262207031,USD,877.1599731445312
JPMorgan,2022-03-15,121.15482330322266,USD,873.6099853515625
JPMorgan,2022-03-16,126.56873321533203,USD,903.219970703125
JPMorgan,2022-03-17,128.1691436767578,USD,913.8699951171875
JPMorgan,2022-03-18,128.12342834472656,USD,914.6199951171875
JPMorgan,2022-03-21,127.7118911743164,USD,911.989990234375
JPMorgan,2022-03-22,130.42799377441406,USD,929.1799926757812
JPMorgan,2022-03-23,127.83078002929688,USD,916.0599975585938
JPMorgan,2022-03-24,128.6630096435547,USD,913.4400024414062
JPMorgan,2022-03-25,129.78782653808594,USD,915.8200073242188
JPMorgan,2022-03-28,128.82760620117188,USD,909.469970703125
JPMorgan,2022-03-29,129.11109924316406,USD,930.8499755859375
