Bank,Date,Close,Currency,GlobalBankIndex
Bank of America,2022-04-29,32.736602783203125,USD,820.5700073242188
Bank of America,2022-05-02,33.158653259277344,USD,816.1900024414062
Bank of America,2022-05-03,34.066978454589844,USD,831.0700073242188
Bank of America,2022-05-04,35.43405532836914,USD,838.47998046875
Bank of America,2022-05-05,34.44316482543945,USD,825.3300170898438
Bank of America,2022-05-06,34.3605842590332,USD,820.1900024414062
Bank of America,2022-05-09,33.36967468261719,USD,804.02001953125
Bank of America,2022-05-10,32.80998992919922,USD,803.0599975585938
Bank of America,2022-05-11,32.63566970825195,USD,807.6300048828125
Bank of America,2022-05-12,32.17692184448242,USD,799.5700073242188
Bank of America,2022-05-13,32.2686653137207,USD,813.0
Bank of America,2022-05-16,31.938364028930664,USD,810.489990234375
Bank of America,2022-05-17,33.02103042602539,USD,830.5700073242188
Bank of America,2022-05-18,32.002593994140625,USD,823.8800048828125
Bank of America,2022-05-19,31.608068466186523,USD,824.6599731445312
Bank of America,2022-05-20,31.066736221313477,USD,825.6199951171875
Bank of America,2022-05-23,32.91092300415039,USD,849.9500122070312
Bank of America,2022-05-24,32.70907211303711,USD,853.8300170898438
Bank of America,2022-05-25,32.88339614868164,USD,857.3599853515625
Bank of America,2022-05-26,33.64492416381836,USD,869.5
Bank of America,2022-05-27,33.96604919433594,USD,878.8599853515625
Bank of America,2022-05-31,34.13119888305664,USD,878.5999755859375
Bank of America,2022-06-01,33.64492416381836,USD,870.0999755859375
Bank of America,2022-06-02,33.86640167236328,USD,872.7999877929688
Bank of America,2022-06-03,33.39577102661133,USD,866.6900024414062
Bank of America,2022-06-06,33.358863830566406,USD,872.5700073242188
Bank of America,2022-06-07,33.54341506958008,USD,870.6599731445312
Bank of America,2022-06-08,33.11893844604492,USD,859.780029296875
Bank of America,2022-06-09,31.845481872558594,USD,842.5399780273438
Bank of America,2022-06-10,30.60894775390625,USD,807.75
Bank of America,2022-06-13,29.547740936279297,USD,787.0599975585938
Bank of America,2022-06-14,29.030975341796875,USD,786.510009765625
Bank of America,2022-06-15,29.575420379638672,USD,799.4299926757812
Bank of America,2022-06-16,29.39086151123047,USD,789.5900268554688
Bank of America,2022-06-17,29.455459594726562,USD,786.27001953125
Bank of America,2022-06-21,30.31365394592285,USD,811.2100219726562
Bank of America,2022-06-22,30.08295249938965,USD,806.7899780273438
Bank of America,2022-06-23,29.603107452392578,USD,788.8300170898438
Bank of America,2022-06-24,29.81534767150879,USD,806.780029296875
Bank of America,2022-06-27,29.852258682250977,USD,807.780029296875
Bank of America,2022-06-28,29.769207000732422,USD,808.010009765625
Bank of America,2022-06-29,29.400094985961914,USD,799.5700073242188
Bank of America,2022-06-30,28.72645378112793,USD,782.530029296875
Bank of America,2022-07-01,29.123254776000977,USD,782.5999755859375
Bank of America,2022-07-05,28.827960968017578,USD,766.9500122070312
Bank of America,2022-07-06,28.58803939819336,USD,757.02001953125
Bank of America,2022-07-07,29.400094985961914,USD,767.7899780273438
Bank of America,2022-07-08,29.33549690246582,USD,770.6400146484375
Bank of America,2022-07-11,29.030975341796875,USD,760.0399780273438
Bank of America,2022-07-12,28.93869400024414,USD,757.1599731445312
Bank of America,2022-07-13,28.458845138549805,USD,748.530029296875
Bank of America,2022-07-14,27.803659439086914,USD,723.3400268554688
Bank of America,2022-07-15,29.759979248046875,USD,743.1199951171875
Bank of America,2022-07-18,29.769207000732422,USD,756.8400268554688
Bank of America,2022-07-19,30.775047302246094,USD,777.9400024414062
Bank of America,2022-07-20,30.784273147583008,USD,777.239990234375
Bank of America,2022-07-21,31.05188751220703,USD,778.2899780273438
Bank of America,2022-07-22,30.8488712310791,USD,775.4299926757812
Bank of America,2022-07-25,31.125701904296875,USD,781.9600219726562
Bank of America,2022-07-26,30.498207092285156,USD,769.7000122070312
Bank of America,2022-07-27,30.996524810791016,USD,777.9400024414062
Bank of America,2022-07-28,30.74736213684082,USD,781.010009765625
Bank of America,2022-07-29,31.199535369873047,USD,792.3800048828125
Bank of America,2022-08-01,31.107250213623047,USD,795.780029296875
Bank of America,2022-08-02,30.488981246948242,USD,784.760009765625
Bank of America,2022-08-03,31.04265785217285,USD,789.6500244140625
Bank of America,2022-08-04,30.821184158325195,USD,792.4600219726562
Bank of America,2022-08-05,31.33794593811035,USD,795.030029296875
Bank of America,2022-08-08,30.90424346923828,USD,798.8900146484375
Bank of America,2022-08-09,31.301034927368164,USD,797.3099975585938
Bank of America,2022-08-10,32.36225128173828,USD,814.5700073242188
Bank of America,2022-08-11,33.13739013671875,USD,820.4000244140625
Bank of America,2022-08-12,33.497283935546875,USD,826.97998046875
Bank of America,2022-08-15,33.45114517211914,USD,823.219970703125
Bank of America,2022-08-16,33.81101989746094,USD,822.989990234375
Bank of America,2022-08-17,33.59878921508789,USD,816.4299926757812
Bank of America,2022-08-18,33.47882080078125,USD,814.1599731445312
Bank of America,2022-08-19,32.74059295654297,USD,795.6500244140625
Bank of America,2022-08-22,32.039268493652344,USD,783.75
Bank of America,2022-08-23,31.753210067749023,USD,783.4099731445312
Bank of America,2022-08-24,31.85470962524414,USD,781.2999877929688
Bank of America,2022-08-25,32.42683792114258,USD,788.9400024414062
Bank of America,2022-08-26,31.402545928955078,USD,776.0800170898438
Bank of America,2022-08-29,31.28258514404297,USD,771.9199829101562
Bank of America,2022-08-30,31.457914352416992,USD,773.4099731445312
Bank of America,2022-08-31,31.014968872070312,USD,773.239990234375
Bank of America,2022-09-01,31.08928871154785,USD,762.969970703125
Bank of America,2022-09-02,31.052127838134766,USD,775.1300048828125
Bank of America,2022-09-06,30.70844841003418,USD,763.2100219726562
Bank of America,2022-09-07,31.182167053222656,USD,762.77001953125
Bank of America,2022-09-08,32.18535232543945,USD,779.8200073242188
Bank of America,2022-09-09,32.45471954345703,USD,795.9400024414062
Bank of America,2022-09-12,32.761253356933594,USD,810.8800048828125
Bank of America,2022-09-13,31.581584930419922,USD,792.0399780273438
Bank of America,2022-09-14,31.460830688476562,USD,789.9600219726562
Bank of America,2022-09-15,32.05530548095703,USD,795.780029296875
Bank of America,2022-09-16,31.693050384521484,USD,789.0800170898438
Bank of America,2022-09-19,32.222503662109375,USD,790.5599975585938
Bank of America,2022-09-20,31.739490509033203,USD,782.9000244140625
Bank of America,2022-09-21,30.79204750061035,USD,771.1300048828125
Bank of America,2022-09-22,30.18828010559082,USD,763.8099975585938
Bank of America,2022-09-23,29.473051071166992,USD,739.0800170898438
Bank of America,2022-09-26,28.822839736938477,USD,725.3599853515625
Bank of America,2022-09-27,28.395559310913086,USD,716.0900268554688
Bank of America,2022-09-28,28.859994888305664,USD,712.47998046875
Bank of America,2022-09-29,28.47916030883789,USD,703.0999755859375
Bank of America,2022-09-30,28.051877975463867,USD,705.9600219726562
